Champion,Role,Rank,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
Syndra,Middle,158,0.5005,0.0423,0.006,5.62,6.75,5.59,6.61,7,21914,17408,2759,180.8,1.73,7.07,11696,6,5
Tahm Kench,Support,159,0.446,0.0054,0.0004,4.49,2.05,5.21,9.13,4,7711,20092,4465,38.5,0.2,0.24,7129,52,2
Tahm Kench,Top,160,0.4933,0.0019,0.0004,7.11,5.14,5.41,6.95,5,18179,32150,8793,150.6,1.78,1.88,10796,38,2
Taliyah,Jungle,161,0.4706,0.0045,0.0001,20.63,6.59,5.73,8.12,7,17786,22881,8311,35.6,7.55,75.92,10455,42,4
Taliyah,Middle,162,0.5164,0.002,0.0001,5.88,7.99,5.86,7.79,8,22991,19240,4380,159.3,2.3,7.57,11632,20,10
Talon,Middle,163,0.5157,0.0214,0.0059,6.49,8.88,6.31,6.03,10,21043,24741,5515,165.2,4.96,7.13,12351,8,6
Taric,Support,164,0.5339,0.0209,0.0013,4.94,1.47,4.86,12.85,3,5211,16835,9443,32.5,0.12,0.15,7213,24,3
Teemo,Jungle,165,0.4933,0.0045,0.0039,16.24,5.7,6.22,6.17,7,22190,21872,6286,87.7,7.71,49.79,11052,39,7
Teemo,Support,166,0.4796,0.0045,0.0039,14.37,3.34,5,4.61,8,13667,12365,1369,71.2,0.93,1.13,7366,44,4
Teemo,Top,167,0.5108,0.0208,0.0039,6.17,5.41,6.08,5.6,9,25179,21041,3835,172,3.09,4.38,11591,17,4
Thresh,Support,168,0.4947,0.1249,0.0119,10.62,2.02,5.56,12.68,6,7162,16711,1912,32.6,0.07,0.07,7520,4,4
Tristana,ADC,169,0.4824,0.0345,0.0011,4.76,7.9,5.75,6.49,10,19117,18780,2742,171.1,2.47,8.62,12389,18,1
Trundle,Jungle,170,0.5155,0.0348,0.0017,5.75,4.52,4.33,8.74,7,11015,31977,16126,33.2,7.54,71.95,10104,20,7
Tryndamere,Jungle,171,0.5366,0.0045,0.0063,13.07,6.47,5.48,4.26,6,17832,33096,10887,153.7,12.33,32.23,12865,9,1
Tryndamere,Top,172,0.4756,0.0184,0.0063,6.62,5.68,5.76,4.06,7,17979,32043,9088,194.4,7.87,8.37,12669,18,2
Twisted Fate,Middle,173,0.4837,0.0207,0.0004,6.17,5.13,5.37,8.38,6,17507,20830,4335,168.9,1.46,5.76,11756,35,0
Twisted Fate,Support,174,0.493,0.0034,0.0004,16.36,2.61,3.44,3.92,4,7137,9825,1550,98.7,0.44,1.37,6855,51,0
Twitch,ADC,175,0.5147,0.0219,0.0007,6.58,8.54,6.22,7.38,10,22097,19692,2595,163.2,2.51,9.78,12319,5,0
Twitch,Jungle,176,0.4568,0.0061,0.0007,9.92,7.96,6.83,6.95,9,17952,23006,6649,44.8,6.64,71.14,11218,45,2
Udyr,Jungle,177,0.4959,0.0097,0.0004,3.74,5.41,5.33,5.84,8,11523,27095,10120,36.7,11.25,79.45,10694,38,2
Urgot,Top,178,0.5144,0.0205,0.002,3.89,6.67,5.61,5.26,7,19577,24336,4488,175.4,2.29,3.4,11997,9,3
Varus,ADC,179,0.4985,0.0607,0.0115,5.72,6.52,5.6,8.12,7,21466,15508,2317,183.7,1.52,5.9,11902,6,7
Vayne,ADC,180,0.5194,0.0804,0.0121,8.22,7.37,5.95,6.12,9,18918,19709,3663,169.4,1.92,7.66,11989,8,3
Veigar,ADC,181,0.5083,0.0048,0.0018,18.39,7.52,5.98,7.84,7,20653,16946,2311,173.3,1.76,5.35,12010,15,7
